feature,feature value,n_samples,precision,recall,fbeta
native-country, Vietnam,24,0.3333333333333333,0.5,0.4
native-country, El-Salvador,29,1.0,1.0,1.0
native-country, France,6,0.5,1.0,0.6666666666666666
native-country, South,18,1.0,0.3333333333333333,0.5
native-country, Italy,10,1.0,0.6666666666666666,0.8
native-country, India,21,0.5555555555555556,0.7142857142857143,0.6250000000000001
native-country, Mexico,129,0.0,0.0,0.0
native-country, Ecuador,7,0.0,0.0,0.0
native-country, Iran,10,1.0,0.5714285714285714,0.7272727272727273
native-country, Canada,24,0.75,0.6666666666666666,0.7058823529411765
native-country, Puerto-Rico,34,0.8,0.6666666666666666,0.7272727272727272
native-country, Cambodia,3,1.0,0.5,0.6666666666666666
native-country, Poland,13,0.5,0.5,0.5
native-country, Columbia,12,0.0,1.0,0.0
native-country, England,21,1.0,0.5,0.6666666666666666
native-country, Peru,11,0.5,0.5,0.5
native-country, Germany,26,0.8,0.6666666666666666,0.7272727272727272
native-country, Nicaragua,7,1.0,1.0,1.0
native-country, Dominican-Republic,13,0.0,0.0,0.0
native-country, Haiti,10,1.0,0.0,0.0
native-country, Greece,7,0.5,0.5,0.5
native-country, Scotland,3,1.0,1.0,1.0
native-country, Outlying-US(Guam-USVI-etc),2,1.0,1.0,1.0
native-country, Taiwan,11,1.0,0.75,0.8571428571428571
native-country, Jamaica,9,1.0,1.0,1.0
native-country, Portugal,5,1.0,1.0,1.0
native-country, Guatemala,7,1.0,1.0,1.0
native-country, Thailand,1,1.0,1.0,1.0
native-country, Ireland,4,1.0,1.0,1.0
native-country, Hungary,5,1.0,1.0,1.0
native-country, Trinadad&Tobago,3,1.0,1.0,1.0
native-country, Yugoslavia,2,1.0,1.0,1.0
native-country, Laos,4,1.0,1.0,1.0
native-country, Honduras,2,1.0,1.0,1.0
